Base,Tail Number,Min Quantity,Max Quantity,JETA Fuel Cost,Into Plane,Discount,County Fee,Federal Excise Tax JetA,FET Addon,Flow Fee,Jet Concession Fee,Jet Conc/AR FF Fee,M & O Fee,Misc,PAFCO Fuel Surcharge,PAFCO Truck Fee,Pipeline Fee,PPD Billed Freight,PPD Freight Surcharge,State and Local Taxes,State Clean Fee,STATE ENVIRON/OIL SPILL,State Fuel Tax,State Inspection Fee,State Oil Transfer/UST,Freight,US Federal Oil Spill,Sub Total ($),Tax Rate (%),Tax Amount ($),Total
ACY,,1,300,4.3529,4.1400,0.0000,,0.2180,0.0250,,0.0700,,,0.0400,0.0222,0.0529,0.0000,0.0125,,,,,,,,0.0010,0.0021,8.9366,6.6250,0.0000,8.9366
ACY,,301,1200,4.3529,3.8300,0.0000,,0.2180,0.0250,,0.0700,,,0.0400,0.0222,0.0529,0.0000,0.0125,,,,,,,,0.0010,0.0021,8.6266,6.6250,0.0000,8.6266
ACY,,1201,999999,4.3529,3.3200,0.0000,,0.2180,0.0250,,0.0700,,,0.0400,0.0222,0.0529,0.0000,0.0125,,,,,,,,0.0010,0.0021,8.1166,6.6250,0.0000,8.1166
AMA,,1,300,4.2985,2.3100,0.0000,,0.2180,0.0250,,0.0525,,,,0.0096,0.0231,0.0000,0.0000,,,,,,,,0.0010,0.0021,6.9398,0.0000,0.0000,6.9398
AMA,,301,1200,4.2985,2.2100,0.0000,,0.2180,0.0250,,0.0525,,,,0.0096,0.0231,0.0000,0.0000,,,,,,,,0.0010,0.0021,6.8398,0.0000,0.0000,6.8398
AMA,,1201,999999,4.2985,1.9600,0.0000,,0.2180,0.0250,,0.0525,,,,0.0096,0.0231,0.0000,0.0000,,,,,,,,0.0010,0.0021,6.5898,0.0000,0.0000,6.5898
ANC,,1,500,3.5227,1.2240,0.0000,,0.2180,0.0250,,0.0670,,,,0.0122,0.0350,0.0000,0.0000,,0.0320,,,,,,0.0010,0.0021,5.1390,0.0000,0.0000,5.1390
ANC,,501,1200,3.5227,1.2000,0.0000,,0.2180,0.0250,,0.0670,,,,0.0122,0.0350,0.0000,0.0000,,0.0320,,,,,,0.0010,0.0021,5.1150,0.0000,0.0000,5.1150
ANC,,1201,999999,3.5227,1.1750,0.0000,,0.2180,0.0250,,0.0670,,,,0.0122,0.0350,0.0000,0.0000,,0.0320,,,,,,0.0010,0.0021,5.0900,0.0000,0.0000,5.0900
AP3,,1,300,4.3480,0.7140,0.0000,,0.2180,0.0250,,0.0700,,,,0.0104,0.0250,0.0000,0.0000,,,,,0.0400,,,0.0010,0.0021,5.4535,4.1500,0.2259,5.6794
AP3,,301,1200,4.3480,0.7000,0.0000,,0.2180,0.0250,,0.0700,,,,0.0104,0.0250,0.0000,0.0000,,,,,0.0400,,,0.0010,0.0021,5.4395,4.1500,0.2253,5.6648
AP3,,1201,999999,4.3480,0.6850,0.0000,,0.2180,0.0250,,0.0700,,,,0.0104,0.0250,0.0000,0.0000,,,,,0.0400,,,0.0010,0.0021,5.4245,4.1500,0.2247,5.6492
APA,,1,300,4.4416,0.7140,0.0000,,0.2180,0.0250,,0.1000,,,,0.0156,0.0371,0.0000,0.0000,,,,,0.0400,,,0.0010,0.0021,5.5944,4.1500,0.2315,5.8259
APA,,301,1200,4.4416,0.7000,0.0000,,0.2180,0.0250,,0.1000,,,,0.0156,0.0371,0.0000,0.0000,,,,,0.0400,,,0.0010,0.0021,5.5804,4.1500,0.2309,5.8113
APA,,1201,999999,4.4416,0.6850,0.0000,,0.2180,0.0250,,0.1000,,,,0.0156,0.0371,0.0000,0.0000,,,,,0.0400,,,0.0010,0.0021,5.5654,4.1500,0.2303,5.7957
